Make_Model,Electric Range_mean,Electric Range_median,Electric Range_var,Electric Range_std,Electric Range_sem
SMART / FORTWO ELECTRIC DRIVE,63.298507462686565,68.0,25.09819324430478,5.00980970140631,0.4327816419216093
SUBARU / CROSSTREK,17.0,17.0,0.0,0.0,0.0
TESLA / MODEL 3,238.783365144619,220.0,1488.1005587359139,38.57590645384647,0.3305184457998399
TESLA / MODEL S,227.53977368687723,210.0,1185.3312302866157,34.42863968103613,0.4474271492929783
TESLA / MODEL X,240.55656108597285,238.0,1495.5178469512334,38.67192582418457,0.6716670346348356
TESLA / MODEL Y,291.0,291.0,0.0,0.0,0.0
TESLA / ROADSTER,234.0625,245.0,157.08111702127658,12.533200589684846,1.8090116835655305
TH!NK / CITY,100.0,100.0,0.0,0.0,0.0
TOYOTA / PRIUS PLUG-IN,6.0,6.0,0.0,0.0,0.0
TOYOTA / PRIUS PRIME,26.958829205532325,25.0,23.594186016186626,4.857384688923313,0.08711483903735287
TOYOTA / RAV4,102.57142857142857,103.0,3.3038961038961063,1.8176622634296247,0.2428953369507749
TOYOTA / RAV4 PRIME,42.0,42.0,0.0,0.0,0.0
VOLKSWAGEN / E-GOLF,107.16869728209934,125.0,431.36363460527383,20.769295476863768,0.6358278625994627
VOLVO / S60,31.115606936416185,22.0,90.62609221669574,9.519773748188333,0.7237749954420524
VOLVO / S90,24.77777777777778,21.0,51.37777777777779,7.167829363048327,1.1946382271747211
VOLVO / V60,38.35443037974684,41.0,43.8214865303473,6.61977994576461,0.7447834323772493
VOLVO / XC60,26.923413566739605,35.0,74.86347330256035,8.652368074842883,0.23367715624294286
VOLVO / XC90,23.98074745186863,18.0,63.79113054581496,7.9869349907092,0.19005740705406002
WHEEGO ELECTRIC CARS / WHEEGO,100.0,100.0,0.0,0.0,0.0
